FILE,SYMBOL,SELECTION FIELD,READ/WRITE,CURRENT OWNER,TARGET ROLE,MIGRATION ACTION
lib/playback/usePlaybackPublicApi.js,requestAuthoritativePlay/setRepeatMode/setShuffle/enqueueTrack/removeFromQueue/moveInQueue,currentTrack+queue+queueIndex+repeatMode+shuffle,WRITE,LEGACY,single chokepoint calling SelectionAuthority,requestAuthoritativePlay now commits Selection (setQueueAndSelect/selectMedia) before issuing the Transport PLAY intent unless alreadySelected; queue-mutation callbacks now propose insertItem/removeItem/reorderQueue/setTraversalPolicy
lib/playback/PlaybackTransportCommands.js,stopInternal,queue+queueIndex,WRITE,LEGACY,demoted,"Removed direct queueRef/queueIndexRef zeroing; resetContext() now owns the canonical clearQueue() commit"
lib/playback/usePlaybackEffects.js,Effect 3 (session restore)/Effect 5 (entitlements),queue+queueIndex+currentTrack+repeatMode+shuffle,WRITE,LEGACY,demoted,"Effect 3 proposes restoreSelection with a pre-fetch captured context (late-restore protection); Effect 5 proposes updateQueueRepresentation instead of direct queueRef/patchState writes"
lib/playback/PlaybackEventHandlers.js,onEnded (finishEnded)/onError,queueIndex+currentTrack+shuffleOrder,WRITE (buggy duplicate logic),LEGACY,demoted,"Deleted duplicated traversal logic (including a confirmed ReferenceError bug: unbound advanceShuffleOrder reference); both handlers now propose next() through the Selection port"
lib/playback/usePlaybackRefs.js,shuffledOrderRef/shufflePositionRef,shuffle traversal state,WRITE,LEGACY,removed (dead),Deleted — shuffle traversal state is now Core-internal only; no legacy ref mirrors it
lib/playback/usePlaybackDelegates.js,advanceShuffleOrder delegate,n/a,wiring,LEGACY,removed (dead),Removed delegate wiring for the deleted method
context/AudioContext.js,state useMemo,currentTrack+currentTrackId+queue+queueIndex+repeatMode+shuffle,READ,LEGACY-consumed,CORE-consumed (direct),Added direct useProductionSelection() join into `state`, mirroring the existing canonicalTransport join pattern
lib/playback/PlaybackStreamCommands.js,playTrackInternal and 4 other sites,currentTrack (representation only),WRITE (unchanged),LEGACY call site -> auto-routed,representation proposal via PSM,"No code change required — all writes are same-identity representation refreshes (resolved src, upgraded access), auto-forwarded by PlaybackStateMachine.updateContext()"
lib/playback/PlaybackCSCommands.js,applyCSModeToTrack/toggleCSMode,currentTrack (representation only),WRITE (unchanged),LEGACY call site -> auto-routed,representation proposal via PSM,No code change required — same-identity CS-variant representation swap
lib/playback/PlaybackRecoveryCommands.js,recoverAudioHard/resumePlaybackTransport,currentTrack (representation only)/queue+queueIndex (read only),WRITE+READ (unchanged),LEGACY call site -> auto-routed / read-only projection,representation proposal via PSM / read projection,No code change required
lib/playback/command-executor.js,PLAY_TRACK/SET_QUEUE/NEXT_TRACK/PREV_TRACK cases,n/a,forward (unchanged),LEGACY,unchanged,"Calls h.setQueue/h.playNext/h.playPrev (now Selection-port-backed); no direct field access itself"
components/audio/GlobalAudioPlayerBar.js,queue/queueIndex/removeFromQueue/moveInQueue,queue+queueIndex,READ+forward (unchanged),LEGACY-consumed -> CORE-projected (via AudioContext state),unchanged call sites,No component change required — receives Core-projected state.queue/state.queueIndex transparently
components/player/QueuePanel.js,queue/queueIndex/moveInQueue/removeFromQueue,queue+queueIndex,READ+forward (unchanged),CORE-projected,unchanged,No component change required
components/preview/ImmersivePreviewModal.js,QueueSheet/handleTrack,queue+queueIndex+currentTrack,READ+forward (unchanged),CORE-projected,unchanged,"No component change required; local optimistic activeTrackId remains presentation-only, unaffected"
components/music/AlbumTracklistSheet.js,playTrackInSheet/playAndClose/isTrackActive,currentTrack+shuffle (via setShuffle)+queue (via dispatchPlaybackCommand),forward (unchanged),CORE-projected,unchanged,No component change required — setShuffle/dispatchPlaybackCommand already route through migrated call sites
components/music/MyMusicTab.js,playItem/playPlaylist/playAllSingles/LibraryCarousel,currentTrack+shuffle+queue,forward (unchanged),CORE-projected,unchanged,No component change required
app/HomeClient.js,playAlbumTracks/playSinglesQueue/playFeaturesQueue,currentTrack+queue,forward (unchanged),CORE-projected,unchanged,No component change required
components/music/ReleaseCardPlayButton.js,handlePlay,currentTrack (identity compare)+queue (dispatch),forward (unchanged),CORE-projected,unchanged,No component change required
components/storefront/MusicTabCatalogPanels.js,handleFeaturePlay,currentTrack (identity compare)+queue (dispatch),forward (unchanged),CORE-projected,unchanged,No component change required
components/system/AudioPhase10Bridge.js,recovery event handler,queue (dispatch SET_QUEUE)+currentTrack (local mirror),forward+local mirror (unchanged),CORE-projected,unchanged,"No component change required; its own queueRef/currentTrackRef are component-local mirrors, never canonical"
components/storefront/PlaybackChromeIsland.js,currentTrackRef mirror,currentTrack,local mirror (unchanged),CORE-projected,unchanged,No component change required
lib/playback/session-memory.js,savePlaybackSession/fetchQueueFromServer/syncQueueToServer,queue+queueIndex+repeatMode+shuffle (persistence only),READ/WRITE (unchanged),I/O layer,unchanged,"Pure client<->server persistence of plain data, not canonical Selection authority itself"
app/api/queue/route.js,GET/PUT,queue+queue_index+shuffle+repeat_mode (server persistence),READ/WRITE (unchanged),server persistence,unchanged,Server-side mirror for cross-device restore; not part of the client Core migration
lib/playback-core/ports/PlaybackPort.js / adapters/PlaybackCoreAdapter.js / types/index.js CoreLiveCommandScope,next()/previous()/setQueue()/reorderQueue(),n/a,dormant (unchanged),n/a,intentionally left dormant,"Never called by production Selection-triggering UI (verified); Selection is wired through its own dedicated seam instead, exactly mirroring how Slice 2 wired TransportAuthority outside this same pipeline"
